set_id,set_number,set_name,theme,release_year,msrp_usd,start_date,end_date,observation_months,start_price_usd,price_12m_usd,price_24m_usd,roi_12m_pct,roi_24m_pct,annualized_roi_pct,max_drawdown_pct,win_12m,win_24m,source_dataset,pattern_tags
1,21005-1,Fallingwater,Architecture,2009,99.9900,2015-12-01,2019-04-01,41,177.8200,225.4300,239.4900,26.7743,34.6811,16.0522,-19.9788,1,0,mendeley_small_2015_2019,"[""adult_display""]"
2,21000-1,Sears Tower,Architecture,2008,19.9900,2015-12-01,2019-04-01,41,44.9300,74.3300,70.1400,65.4351,56.1095,24.9438,-7.8972,1,1,mendeley_small_2015_2019,"[""adult_display""]"
3,21001-1,John Hancock Center,Architecture,2008,19.9900,2015-12-01,2019-04-01,41,165.6700,160.4700,157.5300,-3.1388,-4.9134,-2.4876,-24.2139,0,0,mendeley_small_2015_2019,"[""adult_display""]"
4,21002-1,Empire State Building,Architecture,2009,19.9900,2015-12-01,2019-04-01,41,36.1100,40.6500,37.8000,12.5727,4.6801,2.3133,-34.0741,0,0,mendeley_small_2015_2019,"[""adult_display""]"
5,21003-1,Seattle Space Needle,Architecture,2009,19.9900,2015-12-01,2019-04-01,41,22.4100,33.3900,47.4600,48.9960,111.7805,45.5268,-28.8465,1,1,mendeley_small_2015_2019,"[""adult_display"", ""stem_icon""]"
6,21004-1,Solomon Guggenheim Museum,Architecture,2009,39.9900,2015-12-01,2019-04-01,41,121.0500,114.4000,64.9000,-5.4936,-46.3858,-26.7783,-56.9437,0,0,mendeley_small_2015_2019,"[""adult_display""]"
7,21006-1,White House,Architecture,2010,49.9900,2015-12-01,2019-04-01,41,47.9500,52.9800,78.1900,10.4901,63.0657,27.6972,-26.8613,0,1,mendeley_small_2015_2019,"[""adult_display""]"
8,21000-2,Willis Tower,Architecture,2011,19.9900,2015-12-01,2019-04-01,41,59.6500,81.4600,71.6000,36.5633,20.0335,9.5598,-24.2910,1,0,mendeley_small_2015_2019,"[""adult_display""]"
9,21007-1,Rockefeller Center,Architecture,2011,39.9900,2015-12-01,2019-04-01,41,86.9300,95.0700,86.2650,9.3639,-0.7650,-0.3832,-33.0719,0,0,mendeley_small_2015_2019,"[""adult_display""]"
10,21008-1,Burj Khalifa,Architecture,2011,24.9900,2015-12-01,2019-04-01,41,69.2100,43.4700,50.9350,-37.1912,-26.4051,-14.2126,-44.0399,0,0,mendeley_small_2015_2019,"[""adult_display""]"
11,21009-1,Farnsworth House,Architecture,2011,59.9900,2015-12-01,2019-04-01,41,102.6200,159.8100,158.2600,55.7299,54.2195,24.1851,-90.2416,1,1,mendeley_small_2015_2019,"[""adult_display""]"
12,21010-1,Robie House,Architecture,2011,199.9900,2015-12-01,2019-04-01,41,392.3600,405.2800,393.9300,3.2929,0.4001,0.1999,-17.1639,0,0,mendeley_small_2015_2019,"[""adult_display""]"
13,21011-1,Brandenburg Gate,Architecture,2011,34.9900,2015-12-01,2019-04-01,41,34.6900,29.3300,35.3400,-15.4511,1.8737,0.9325,-40.0630,0,0,mendeley_small_2015_2019,"[""adult_display""]"
14,21012-1,Sydney Opera House,Architecture,2012,39.9900,2015-12-01,2019-04-01,41,68.3800,79.2800,99.0350,15.9403,44.8304,20.3455,-22.8394,0,1,mendeley_small_2015_2019,"[""adult_display""]"
15,21013-1,Big Ben,Architecture,2012,29.9900,2015-12-01,2019-04-01,41,29.4700,35.9200,38.2100,21.8867,29.6573,13.8672,-28.7293,1,0,mendeley_small_2015_2019,"[""adult_display""]"
16,21014-1,Villa Savoye,Architecture,2012,69.9900,2015-12-01,2019-04-01,41,61.9400,87.6700,103.4300,41.5402,66.9842,29.2224,-17.9319,1,1,mendeley_small_2015_2019,"[""adult_display""]"
17,21016-1,Sungnyemun,Architecture,2012,34.9900,2015-12-01,2019-04-01,41,228.1300,229.6000,236.6650,0.6444,3.7413,1.8535,-40.1014,0,0,mendeley_small_2015_2019,"[""adult_display""]"
18,21015-1,The Leaning Tower of Pisa,Architecture,2013,34.9900,2015-12-01,2019-04-01,41,33.1100,43.5200,58.9750,31.4407,78.1184,33.4610,-20.0884,1,1,mendeley_small_2015_2019,"[""adult_display""]"
19,21018-1,United Nations Headquarters,Architecture,2013,49.9900,2015-12-01,2019-04-01,41,50.7300,57.0400,72.7300,12.4384,43.3668,19.7359,-21.5163,0,1,mendeley_small_2015_2019,"[""adult_display""]"
20,21021-1,Marina Bay Sands,Architecture,2013,,2015-12-01,2019-04-01,41,663.1300,703.6700,594.8350,6.1134,-10.2989,-5.2893,-56.0664,0,0,mendeley_small_2015_2019,"[""adult_display""]"
21,21050-1,Architecture Studio,Architecture,2013,159.9900,2015-12-01,2019-04-01,41,153.5900,139.4700,148.7000,-9.1933,-3.1838,-1.6048,-29.4746,0,0,mendeley_small_2015_2019,"[""adult_display""]"
22,21019-1,The Eiffel Tower,Architecture,2014,34.9900,2015-12-01,2019-04-01,41,46.8900,43.3300,34.9550,-7.5922,-25.4532,-13.6595,-47.7714,0,0,mendeley_small_2015_2019,"[""adult_display""]"
23,21020-1,Trevi Fountain,Architecture,2014,49.9900,2015-12-01,2019-04-01,41,55.0900,52.1800,86.3750,-5.2823,56.7889,25.2154,-31.3850,0,1,mendeley_small_2015_2019,"[""adult_display""]"
24,21022-1,Lincoln Memorial,Architecture,2015,29.9900,2015-12-01,2019-04-01,41,40.0600,47.4200,65.3550,18.3724,63.1428,27.7274,-39.0084,0,1,mendeley_small_2015_2019,"[""adult_display""]"
25,21023-1,"Flatiron Building, New York",Architecture,2015,39.9900,2015-12-01,2019-04-01,41,31.6700,31.6000,38.4700,-0.2210,21.4714,10.2141,-10.5576,0,0,mendeley_small_2015_2019,"[""adult_display""]"
26,21024-1,Louvre,Architecture,2015,59.9900,2015-12-01,2019-04-01,41,55.0000,47.9700,59.0500,-12.7818,7.3636,3.6164,-27.5091,0,0,mendeley_small_2015_2019,"[""adult_display""]"
27,21026-1,Venice,Architecture,2016,29.9900,2015-12-01,2019-04-01,41,45.0000,27.9700,35.2600,-37.8444,-21.6444,-11.4813,-53.9333,0,0,mendeley_small_2015_2019,"[""adult_display""]"
28,21027-1,Berlin,Architecture,2016,29.9900,2016-02-01,2019-04-01,39,60.0000,25.7300,40.9300,-57.1167,-31.7833,-17.4066,-63.5500,0,0,mendeley_small_2015_2019,"[""adult_display""]"
29,21029-1,UK landmark,Architecture,2016,49.9900,2016-08-01,2019-04-01,33,90.0000,45.4400,41.6000,-49.5111,-53.7778,-32.0131,-59.4778,0,0,mendeley_small_2015_2019,"[""adult_display""]"
30,21028-1,New York City,Architecture,2016,59.9900,2015-12-01,2019-04-01,41,86.0000,54.1400,46.2100,-37.0465,-46.2674,-26.6975,-59.2558,0,0,mendeley_small_2015_2019,"[""adult_display""]"
31,21030-1,US landmark,Architecture,2016,99.9900,2016-04-01,2019-04-01,37,145.0000,84.6800,85.3600,-41.6000,-41.1310,-23.2739,-54.3769,0,0,mendeley_small_2015_2019,"[""adult_display""]"
32,21031-1,Burj Khalifa,Architecture,2016,39.9900,2016-01-01,2019-04-01,40,40.2000,36.6000,47.6000,-8.9552,18.4080,8.8154,-30.1741,0,0,mendeley_small_2015_2019,"[""adult_display""]"
33,4701-1,Sorting Hat,Harry Potter,2001,6.9900,2015-12-01,2019-04-01,41,40.6000,40.6000,41.9650,0.0000,3.3621,1.6671,-29.0224,0,0,mendeley_small_2015_2019,"[""franchise_power""]"
34,4702-1,The Final Challenge,Harry Potter,2001,9.9900,2015-12-01,2019-04-01,41,47.4700,50.8700,51.8350,7.1624,9.1953,4.4965,-26.5253,0,0,mendeley_small_2015_2019,"[""franchise_power""]"
35,4704-1,The Room of the Winged Keys,Harry Potter,2001,19.9900,2015-12-01,2019-04-01,41,70.7300,62.2000,71.9350,-12.0599,1.7037,0.8482,-24.6854,0,0,mendeley_small_2015_2019,"[""franchise_power""]"
36,4705-1,Snape's Class,Harry Potter,2001,19.9900,2015-12-01,2019-04-01,41,77.1300,76.2700,77.2000,-1.1150,0.0908,0.0454,-29.5480,0,0,mendeley_small_2015_2019,"[""franchise_power""]"
37,4706-1,Forbidden Corridor,Harry Potter,2001,29.9900,2015-12-01,2019-04-01,41,98.6000,78.1300,60.0650,-20.7606,-39.0822,-21.9501,-43.3437,0,0,mendeley_small_2015_2019,"[""franchise_power""]"
38,4707-1,Hagrid's Hut,Harry Potter,2001,29.9900,2015-12-01,2019-04-01,41,80.8700,119.2000,91.4000,47.3971,13.0209,6.3113,-41.7785,1,0,mendeley_small_2015_2019,"[""franchise_power""]"
39,4708-1,Hogwarts Express,Harry Potter,2001,49.9900,2015-12-01,2019-04-01,41,260.0000,165.4000,173.2350,-36.3846,-33.3712,-18.3735,-68.3077,0,0,mendeley_small_2015_2019,"[""franchise_power"", ""adult_display""]"
40,4709-1,Hogwarts Castle,Harry Potter,2001,89.9900,2015-12-01,2019-04-01,41,237.6000,345.7300,329.6650,45.5093,38.7479,17.7913,-47.2623,1,1,mendeley_small_2015_2019,"[""franchise_power"", ""adult_display""]"
41,4721-1,Hogwarts Classrooms,Harry Potter,2001,9.9900,2015-12-01,2019-04-01,41,56.3300,59.0000,60.0650,4.7399,6.6306,3.2621,-15.7309,0,0,mendeley_small_2015_2019,"[""franchise_power"", ""adult_display""]"
